jfid;jlid;nemz;pa;pf;po;pk;pl;pm;pn
57962;5;7;'2';'2';'0';'2';'0';'1';'1'
57968;5;7;'1';'0';'0';'0';'0';'0';'0'
57976;5;7;'1';'0';'0';'0';'0';'0';'0'
57980;5;7;'6';'1';'0';'1';'0';'0';'1'
57980;6;3;'15';'12';'0';'12';'0';'3';'9'
57986;9;5;'1';'1';'0';'1';'0';'0';'1'
57988;5;7;'2';'0';'0';'0';'0';'0';'0'
57990;5;7;'1';'1';'0';'1';'0';'0';'1'
57992;5;7;'5';'5';'0';'5';'0';'0';'5'
57992;9;5;'1';'1';'0';'1';'0';'0';'1'
58006;5;7;'1';'0';'0';'0';'0';'0';'0'
58006;9;5;'2';'1';'0';'1';'0';'0';'1'
58010;5;7;'1';'0';'0';'0';'0';'0';'0'
58014;5;7;'2';'0';'0';'0';'0';'0';'0'
58018;9;5;'10';'10';'0';'10';'0';'0';'10'
58028;9;5;'53';'44';'0';'44';'0';'0';'44'
58030;5;7;'2';'0';'0';'0';'0';'0';'0'
58030;9;5;'33';'28';'0';'28';'0';'0';'28'
58032;9;5;'2';'2';'0';'2';'0';'1';'1'
58034;5;7;'1';'0';'0';'0';'0';'0';'0'
58034;9;5;'118';'105';'0';'104';'-1';'8';'96'
58040;9;5;'17';'11';'0';'11';'0';'2';'9'
58042;9;5;'7';'6';'0';'6';'0';'1';'5'
58044;5;7;'1';'0';'0';'0';'0';'0';'0'
58044;9;5;'9';'5';'0';'5';'0';'0';'5'
58048;9;5;'1';'1';'0';'1';'0';'0';'1'
58052;5;7;'1';'1';'0';'1';'0';'0';'1'
58052;9;5;'4';'4';'0';'4';'0';'0';'4'
58054;5;7;'1';'1';'0';'1';'0';'0';'1'
58056;33;6;'1';'1';'0';'1';'0';'0';'1'
58058;5;7;'1';'0';'0';'0';'0';'0';'0'
58058;9;5;'25';'22';'0';'22';'0';'3';'19'
58060;9;5;'19';'17';'0';'17';'0';'2';'15'
58068;5;7;'1';'1';'0';'1';'0';'0';'1'
58068;9;5;'45';'37';'0';'37';'0';'2';'35'
58070;9;5;'3';'3';'0';'3';'0';'0';'3'
58072;9;5;'65';'53';'0';'52';'-1';'13';'39'
58076;9;5;'101';'76';'0';'76';'0';'7';'69'
58078;9;5;'28';'22';'0';'22';'0';'1';'21'
58080;9;5;'1';'1';'0';'1';'0';'0';'1'
58084;9;5;'31';'31';'0';'31';'0';'2';'29'
58086;5;7;'1';'0';'0';'0';'0';'0';'0'
58086;9;5;'24';'13';'0';'13';'0';'1';'12'
